property_damage,value_property_damage,incident_summary
0,NA,"Over 200 armed cadres of the CPI-Maoist raided the Satgharwa village in the Munger District and killed two persons, including a political activist of the Janata Dal-United, by slashing their throats. Another person who was also pulled out of his home was, however, assaulted but spared by the extremists. The victims were believed to be Police informants."
0,NA,"A CPI-Maoist leader, wanted in connection with the killing of a Police officer in 2009, was arrested from a riverine area near Ghelpur Chaturpatti village in Muzaffarpur."
0,NA,"Police arrested two CPI-Maoist cadres, identified as Prem Mahto and Mukesh Singh, from Mahamada and Dhanauji villages under Patahi Police Station limits in East Champaran District in connection with the attack on the base camp of a road bridge construction company at village Balua on May 29, 2015."
1,three rooms of the school,"Over 50 heavily armed CPI-Maoist cadres descended on Parchha village under Chutia Police Station in Rohtas District and of blew up a school building. Three of the seven rooms of the school were damaged in the incident. However, there was no report of any casualty. After triggering the blast, the Maoists shouted slogans against the Government machinery for using the school buildings and other installations for housing the Security Forces for anti-Maoist operations."
1,Brick kiln,Suspected CPI-Maoist cadres attacked a brick kiln unit at Purnahiya in Sheohar District and fired at an accounts clerk.
1,two rooms blown up and sacks of grain stolen,Maoists blasted two rooms of the Sub-Divisional Officer of the Kharagpur sub-division of Munger District with dynamites destroying property and records. They also looted sacks of food-grain from the Food Corporation of India storeroom located in the vicinity.
0,NA,"A Government school teacher, Ajit Mishra, was arrested for helping the CPI-Maoist who blew up his school at Parchha village in Rohtas District on May 31, Police said. Police suspected that Mishra, who was posted at that school, was involved in supplying explosives, remote control devices, fuse wires and other equipment to the Maoists that was used in several explosions in Rohtas and neighbouring Districts. Rohtas SP Manu Maharaj said: ""Police have been interrogating Mishra after he was arrested from his native village Tiara Kala following continuous electronic surveillance and intelligence inputs."""
0,NA,"The Bihar Police arrested a CPI-Maoist cadre, identified as Jitendra Kumar, from his house in Doraha village in Arwal District. Jitendra is believed to be an 'area commander' operating in and outside Arwal."
0,NA,"Two close supporters of CPI-Maoist were arrested by Police in Aurangabad District. Police also seized Maoist pamphlets, posters and two cell phones from the arrested persons. Police sources said that a joint team of CRPF and District Armed Police arrested two persons during raids at separate places of Madanpur area on charge of providing cylinders to Maoists for use as cylinder bombs. They have been identified as Lal Babu Paswan and Surendra Bhuiya, both residents of village Azad Bigha under Madanpur Police Station area."
0,NA,"CPI-Maoist cadres who had abducted two villagers, killed one of them and released the other at Pararia village in Rohtas District, SP Manu Maharaj said."
0,NA,Two persons were killed by armed CPI-Maoist at Basudeopur village of Haveli Kharagpur sub-division headquarters of Munger District. The Maoists stormed the village and slit the throat of Bajrangi Paswan (43) and Madan Das (45). The Maoists claimed in some pamphlets found near the bodies that the duos were punished for pocketing levy meant for the organisation. Police and Central Reserve Police Force (CRPF) suspect the team of Maoist 'area commander' Birbal of killing the duo to settle some old scores over collection of levy.
0,NA,"Police arrested three LWEs, including state in charge of PLFI and recovered a cache of firearms from Patulka jungle under Barachatti Police Station area in Gaya District. Gaya SSP Garima Mallik said a joint team of SSB, CRPF and local Police arrested the cadres of PLFI from their hideout in Patulka jungle. The arrested cadres were identified as PLFI Bihar in charge Arun Yadav alias Singham, Santosh Yadav and Jeetu Yadav alias Jitendra Yadav. Two pistols, mobile phones and motorcycles each and live cartridges were recovered from the spot. The PLFI cadres were involved in a large number of unlawful activities in Bihar and Jharkhand."
0,NA,"The dead body of Surendra Yadav, a farmer, was found lying in a field near Navranga village in Gaya District. A group of more than 20 Communist Party of India-Maoist (CPI-Maoist) cadres had abducted Surendra Yadav and Krishna Yadav, also a farmer, from Maksudpur village in the night of June 3. However, Krishna was reportedly freed."
0,NA,"Armed CPI-Maoist cadres abducted two persons in Gaya District. Over 50 Maoists raided Silwalia village and Bela village under Dumaria Police Station and abducted Shohail Ansari, Nehal Ansari and Nagvir Yadav for working as ""Police informers"", City SP Ratnamani Sanjeev said. Ansari was, however, released later on. The Maoists also beat up some villagers when they resisted"
0,NA,"The Maoists had abducted two persons, residents of Bokhra and Madhuban villages, suspecting them to be Police informants from Munger District."
0,NA,"A CPI-Maoist cadre, identified as Arvind Kumar Verma, was arrested from Patanbigha village in Nalanda District."
0,NA,"On a tip off, a Police team raided Bataspur village and arrested a Naxalite belonging to CPI-ML cadre Dinesh Yadav in Lakhisarai District."
0,NA,"Acting on a tip off, a CPI-Maoist 'sub zonal commander', identified as Bihad Yadav, was arrested from the Civil Lines Police Station area of Gaya District."
0,NA,"Four hardcore cadres of PLFI, including its Bihar in-charge Awadehsh Jaiswal alias Abodh alias Chuhwa, were arrested in Patna. The three others arrested were identified as Siddhi Kumar, Santosh Kumar and Suraj Kumar. The organisation was also involved in the high-intensity IED explosion at Bahadurpur Housing Colony in Patna on March 30, 2015."
0,NA,"Three abducted villagers were killed by Maoists at Rampur village under Haveli-Kharagpur subdivision of Munger District in the night. Sources said a group of armed Maoists had abducted five villagers near Basudeopur village on June 2 and soon after, killed two of them by slitting their throats on the same day."
0,NA,"Acting on a tip-off, Patna Police arrested a CPI-Maoist 'area commander', Gopal Paswan, from Daulatpur village under Bhagwanganj Police Station area in Patna District."
0,NA,"A CPI-Maoist cadre, identified as Bharat Thakur, was arrested by Police after a raid on a house in Auramalikana village of Sheohar District."
0,NA,"Sunil Thakur, alleged to have supplied arms and ammunitions to the CPI-Maoist, surrendered at Sanghwara Police station in Darbhanga District."
0,NA,"The Police arrested Madan Ji alias Dinesh alias Sonu, a CPI-Maoist 'sub zonal commander' from the Jogia village in Aurangabad District. Madan, a resident of the village Kulaya, has 16 Maoist related cases and was involved in Bihar Police Station attack and murder of a military soldier, Superintendent of Police Sidharth Mohan said."
1,Torched five vehicles,"Around 50 CPI-Maoist cadres attacked the base camp of Gammon India, a road construction company, at Kamtaul village under Kurhani Police Station limits on Muzaffarpur-Hajipur 4-lane road in Muzaffarpur District in the intervening night of June 5-6 and torched five vehicles engaged in road construction work."
0,NA,"The Bihar Police arrested Rajendra Paswan alias Paras, zonal commander of the CPI-Maoist from Alpa village under the Konch Police Station in Gaya District."
0,NA,"Armed CPI-Maoist cadres raided Jagdishpur village in Aurangabad District and killed one villager, identified as Bihari Yadav, Police said"
0,NA,Three CPI-Maoist cadres were arrested along with weapons from a village in Rajepur Police Station area in East Champaran District.
0,NA,"Purnia District Police arrested the 'north-east zone area commander' of the CPI-Maoist, Kailash Mandal, at Dumari village under Tikkapati Police Station under Dhamdaha Sub-division in Purnia District."
0,NA,"A villager, identified as Awadhesh Singh Bhokta, a resident of Chilmi village in Aurangabad District, was shot dead by suspected Maoists at close to canal in Dalelbigha village under Madanpur Police Station in Aurangabad District. According to Police sources, Maoists caught Bhokta on June 8 night from Panchrukhiya village, took him near the canal and killed him by opening fire on him by an AK-47."
0,NA,"Two wanted Maoists were arrested from Dhangai in Gaya District, City SP, Ratna Sanjeev, said."
0,NA,"A CPI-Maoist cadre was killed in an encounter with SFs near Chhuchhiya Maunwar village under Dhibra Police Station area in Aurangabad District. Police said acting on a tip off a team of local Police and CRPF personnel conducted raid at a hide-out where the Maoists had taken shelter. ""One Maoist died in an encounter while others managed to escape from the spot,"" a Police official said adding that the body of the slain Maoist could not be recovered as Maoists escaped from the spot taking the body with them."
0,NA,"Aurangabad Police claimed to have averted a major tragedy in the District by recovering huge cache of explosives from Bhura hills under Deo Police Station of the District. According to Police sources, a joint team of DAP and CRPF headed by SP Babu Ram had gone for a search operation in dense hilly area under Deo Police Station, when they came across the cane bombs and other explosives stored. The SP said, during the search operation, 25 cane bombs, one cylinder bomb and key parts of rocket launcher were recovered from the same hill. He said it cannot be denied that explosives were stocked targeting security personnel engaged in anti-Maoist operation in the District."
0,NA,A CRPF trooper of the 159th battalion and two CPI-Maoist cadres were killed and nine SF personnel were injured in an encounter between the SFs and armed Maoists in Balthar forests in Gaya District.
0,NA,"CRPF trooper Shachindra Sharma died in the landmine blast while another died due to heart attack during an encounter with the CPI-Maoist cadres in Chakarbandha forest under the Dumaria Police Station in Gaya District. Six CRPF troopers also received injuries. All of them were out of danger. The Policemen recovered the body of the two Maoists and overpowered an injured Maoist. The two killed Maoists have been identified as Kailu Manjhi and Phoolchand Manjhi, both residents of the area."
0,NA,"The Police raided the house of one Rajesh Kumar at Chauher village in Arwal District and seized three rifles, one pistol, 18 rounds of ammunition, ASP Manoj Kumar said. Ganja pouches and liquor bottles were also found in the possession of Kumar, who could have links with the CPI-Maoist, the ASP said."
1,Blew up one mobile phone tower and set another ablaze,"Maoists blew up one mobile phone tower and set another ablaze of a private company in Aurangabad District. The Maoists blew up the mobile tower at Jaihind Tandua village and set ablaze one more at Jantua village during the Bihar bandh (total shutdown strike) called to protest the death of Madan Yadav, a Maoist, in Police custody, Superintendent of Police SM Jain said."
0,NA,"A CPI-Maoist cadre, identified as Sagar Sahni, was arrested from Davaichh village under Tisiauta Police Station limits in Vaishali District."
0,NA,"The Security Forces seized 20 kilograms gelatin sticks from a CPI-Maoist bunker in Bhimbandh forest in Munger District. CRPF, CoBRA and District Police carried out a combing operation in the forests and seized the explosives from Kanani area. The Maoists, however, escaped ahead of the search."
0,NA,"SF personnel arrested two suspected CPI-Maoist cadres and recovered arms and over 100 rounds of ammunition in Banka District. Officials said the two Maoists, identified as Sikander K. and Arjun K., were arrested around 3 AM during an anti-Maoist operation at Pilua-Suiya area of the District. The security personnel also recovered an INSAS rifle with two magazines, 120 rounds of bullet and a hand grenade."
0,NA,"Two Maoists were arrested in Gaya District. One of the Maoists, Krisha Vallahbh alias Amaresh Kumar alias Chunnuji, an 'area commander' of Vazirganj area, was arrested from Maher village in the night. A 'sub-zonal commander' Surendra Ram alias Maheshji alias Avadhji was arrested from Pali village. Ram was wanted in connection with several cases of Maoist violence, including killing of six Policemen at Paraiya Police Station in 2003."
0,NA,"A group of around 200 CPI-Maoist cadres attacked the Dhanbad-Patna Intercity Express at the Bhalui halt near Jamui District in Bihar, killing three persons and injuring six passengers. The Maoists decamped with three rifles, including one AK 47 and two INSAS (Indian Small Arms System) rifles."
0,NA,"Police arrests four Maoists, including an ‘area commander’ wanted by both Bihar and Uttar Pradesh Police in the Phulwarisharif area of Patna city and seized a large cache of arms and Maoist literature from their possession."
0,NA,Over 200 armed cadres of the CPI-Maoist attacked Islampur railway station in Gaya District and abducted the station master and two other railway employees.
0,NA,"A CPI-Maoist cadre, identified as Bhim Sharma alias Rakesh Sharma was arrested from Sugao village in Jehanabad District of Bihar."
1,"Government middle school building, a community hall and the Panchayat bhawan blown up","An armed militia of around 70 cadres of the CPI-Maoist blew up at least three Government buildings at ChakarBandha village under Dumaria Police Station in the Gaya District, close to the Jharkhand border. Reports said the Maoist militia raided the village after midnight and blew up a Government middle school building, a community hall and the Panchayat bhawan (building of the village level self Government institution)."
0,NA,"Ramswaroop Yadav alias Vikas Yadav, 'sub-zonal commander' of the Maoists, was arrested by the Police from Pachokhar village under Dev block in Aurangabad District"
1,four cell towers,"A group of 70 CPI-Maoist cadres blew up four cell towers in Imamganj area, one in Banke Bazaar and one in the Dobhi block in Gaya District."
0,NA,"Around 100 armed Maoists attacked the Kothi Police Station in Gaya District where one company each of the Bihar Military Police, District Armed Police and Special Auxiliary Force were stationed, City SP Ratnamani Sanjeev said."
1,the booking counter and the panel room of railways station,"A contingent of 40/50 armed Maoists attacked the Nadaul railway station and set ablaze a part of the railway station in Jehanabad District on the Patna-Gaya route, disrupting rail traffic, during a bandh (general shutdown) called in Bihar, Jharkhand and Chhattisgarh, protesting against the arrest of politburo member Jagdish Yadav alias Jagdish Master, who was arrested in Gaya District in the night of June 12. In addition, the Maoists took hostage Rajesh Kumar, the station master for a few hours, ransacked the station, and set ablaze the booking counter and the panel room, and damaged the documents stored in there."
0,NA,"Two CPI-Maoist cadres, identified as Jitendra Rikiyasan alias Gora and Raju Nut, were arrested over their alleged involvement in the Tandwa blast in which eight policemen were killed. While Jitendra was arrested from Sahiyar village in Aurangabad District on June 16, the Aurangabad Police arrested Raju from Chandigarh a few days ago with the help of Punjab Police."
0,NA,"Two CPI-Maoist cadres, Kamlesh Ram and Nanhak Yadav, were arrested from two different villages in the Arwal District. District Superintendent of Police, G. P. Bhadoria, said that while ‘zonal commander’ Kamlesh Ram was arrested from Jhikatia Bara village, Yadav was arrested from Kurbi village. Both of them are wanted in over a dozen cases of loot, murder and kidnapping for ransom."
0,NA,"Kapildeo Yadav alias Indrajeet, the 'commander' of Eastern Regional Bureau of the CPI-Maoist in Jharkhand, was arrested from Ishwar Dayal Hospital, a private nursing home in Patna District."
1,several machines,Suspected cadres of the CPI-Maoist raided the office of a private road construction firm and set ablaze several machines in Patna District.
1,three tractors,"CPI-Maoist cadres opened fire and exploded bombs at a brick kiln near Mahishaur village under Jandaha Police Station area in Vaishali District after the owner refused to pay extortion money. Police said around 15 CPI-Maoist cadres attacked the brick kiln, fired in the air and exploded bombs to create fear among those present at the spot. They also thrashed the employees and labourers and set aflame three tractors to protest refusal of brick kiln owner Bindeshwar Rai to pay extortion money to them. Before fleeing, the Maoists left behind some pamphlets at the spot threatening the kiln owner with dire consequences if he did not cough up the money immediately."
0,NA,"A CRPF Commando, identified as A. Deka was killed and his two other colleagues, A.K. Yadav and K. Kakoti were injured in an IED blast carried out by the CPI-Maoist cadres in the forest area of Aurangabad District. The Maoists triggered the blast near Bandhu Bigaha village when three Commandos of CRPF's elite 205th CoBRA unit were riding on two bikes on way to their camp from Bali Pahari locality, DySP P.N. Sahu said."
0,NA,"Two personnel of the Government Railway Police were killed and seven persons, including three passengers, were injured when a group of Naxalites attacked the Kathgodam Express train at a railway crossing near Sonepur station in the Saran District. The extremists reportedly opened fire as soon as the train reached the station."
0,NA,"In a broad daylight operation, suspected cadres of the CPI-Maoist abducted 19 railway employees, including a station master, in Jamui District. They later released all of them. The armed Maoists, numbering about 20, took the railway employees hostage when they were repairing railway tracks, three kilometres from Ghorparan station located between Jasidih and Simultala stations on Jhajha-Jasidih section, Simultala station master R N P Yadav said."
0,NA,"Acting on a tip-off, Police raided Fasiabad village and arrested a hardcore Maoist identified as Ranjeet Rai, in Kharagpur Police Station area in Munger District of Bihar."
0,NA,Three Maoists were arrested from Sojanna village in Nalanda District.
0,NA,"A 'zonal commander' of the CPI-Maoist was arrested from Barkuria village in Rohtas District. Acting on a tip off, the Police arrested Paswan, the 'zonal commander' from near a brick kiln. Paswan was said to the 'zonal commander' of Kaimuranchal-Rohtas CPI-Maoist. Paswan, a native of Yadunathpur village under Chutia Police Station area was wanted in 36 cases of violence, including encounter with Police in Rohtas District, he added."
0,NA,"Acting on intelligence inputs, Bihar Police arrested a top CPI-Maoist cadre, identified as Rajak alias Tyagiji alias Shivji alias Baba, carrying INR 500,000 reward on his head and his accomplice - Surendra Manjhi - from Pariyawan village under Ghoshi Police Station limits in Jehanabad District. Jehanabad SP Aditya Kumar said some Maoist literature has been seized from them. Rajak was the CPI-Maoist in-charge of Magadh Zone."
0,NA,"Six heavily armed motorcycle-borne cadres of the CPI-Maoist killed Arvind Kumar, a former sarpanch of the Sewra panchayat in Magra village under Dumaria Police Station in Gaya District."
1,"Tyres of truck, dumper, AC wiring and other equipment worth INR one million","The CPI-Maoist cadres set ablaze mixing plant of a construction company at Chorwa village in East Champaran District. Tyres of truck, dumper, AC wiring and other equipment worth INR one million were destroyed in the incident."
0,NA,"An encounter took place between SF personnel and CPI-Maoist cadres in Nawadih forests under Rupau Police Station limits in Nawada District after the Maoists held three villagers captive. The encounter took place and continued for almost four hours during which several rounds were fired from both sides. However, later the Maoists released all the captive villagers. No casualty was reported."
0,NA,Four CPI-Maoist cadres and three Police personnel are killed in an attack by the former in the Madhuban block of East Champaran District.
0,NA,"A ''commander'' of the Sone-Punpun 'Area Committee' of the CPI-Maoist, identified as Sunil Kahar, was arrested from near Koriam Chowki in Arwal District. Kahar, a native of Chattanbigha village under Karpi Police Station of the District, was wanted in connection with nearly a dozen cases of Maoist violence."
1,mobile tower blown up,The Maoists triggered a blast at a mobile tower at Kharati village in Gaya District.
0,NA,"Police arrested two Maoists from Tandwa and Kasma Police Station areas in Aurangabad District of Bihar. Acting on a tip off, Police raided Beni village and arrested 'sub-zonal commander' Kamal Kishore alias Satishji. Another Maoist identified as Tapeshwar Bhuian was arrested from Bigaha Tola village. The two Maoists were wanted in over a dozen cases of violence in Aurangabad District."
1,Burnt down 8 tractors,"While observing two day bandh across Bihar, Jharkhand and Chattisgarh, the Maoists burnt down eight tractors at Agrail village in Vaishali District and set ablaze a mobile tower at Gausganj village near Paliganj in Patna in separate incidents"
1,Set ablaze a mobile tower,"While observing two day bandh across Bihar, Jharkhand and Chattisgarh, the Maoists burnt down eight tractors at Agrail village in Vaishali District and set ablaze a mobile tower at Gausganj village near Paliganj in Patna in separate incidents."
0,NA,"A CPI-Maoist leader, Devendra Sahni alias Ratnakar, was arrested from a hideout at Lakhminia village under Shyampur-Bhatta Police station in the Sheohar District. While other Maoist cadres managed to escape, INR 10,500 was recovered from Devendra."
0,NA,"The chief of proscribed Naxal outfit Shastra Pratirodh Manch (SPM), Ajai Ujjwal alias Chandal was arrested along with his three associates of Gaya District."
0,NA,"Five CPI-Maoist cadres were arrested at Samhauta village in Rohtas District. Acting on a tip off, the Police raided a hideout and arrested the five Maoists, identified as Rajesh Sharma alias Tufani, Mahendra Ram, Birendra Ram, Narendra Sharma and Amar Kumar. A rifle, a pistol, ammunition, Police uniform and a haul of Maoist literature were recovered from their possession."
0,NA,"The CRPF and Police personnel conducting Operation Prahar recovered a can bomb, having pressure release technique, planted by the CPI-Maoist near a road bridge under Pakaridayal Police Station in East Champaran District."
0,NA,"CPI-Maoist cadres, dressed in Police uniform, attacked the house of a Chairman of Primary Agriculture Credit Society, killing two persons and injuring another at Mankauli village in Kudhni of Muzaffarpur District."
1,"Attacked a construction site, set ablaze two JCB machines and a tractor","A group of about 20 CPI-Maoist cadres attacked a construction site at village Budhauli under Bochaha Police Station in Muzaffarpur District of Bihar and shot and injured the contractor's assistant, Rakesh Kunar (40), and set ablaze two JCB machines and a tractor kept at the camp for road construction."
0,NA,"A CPI-Maoist cadre, identified as Nand Lal Paswan, was arrested by Bihar State Police from Jokia village under Bhagwanpur Police Station limits in Begusarai District."
0,NA,Four suspected cadres of the CPI-Maoist carrying 300 kilograms of ammonium nitrate were arrested from Chakai in Jamui District.
0,NA,"A 'zonal commander' of the CPI-Maoist was arrested from Pathra village under Dhibra Police Station in Aurangabad District. ""Acting on a tip-off, Police captured Sudarshan Bhuiyan alias Guptaji, said to be zonal commander of Shahabad range of ultra left outfit,"" SP VR Singh said."
1,Attacked three trucks and set them ablaze after pouring petrol on them,Suspected CPI-Maoist cadres attacked three trucks and set them ablaze after pouring petrol on them on New Delhi - Kolkata NH-28 near Dumaria ghat under Dumaria Police Station in East Champaran District in the wee hours during the one-day Tirhut and Saran division bandh call given by the north Bihar Maoist Zonal committee. The bandh call evoked mixed response in East Champaran District while there was little impact of bandh in western parts of the District.
1,"A bus, a truck and a dumper were set ablaze,","The Maoists set ablaze three more vehicles at two different places in Vaishali District. A bus and a truck were set ablaze at village Asatpur Satpura on NH-77 under Bhagwanganj Police Station. The third vehicle, a dumper, was set ablaze at Parmanandpur under Lalganj Police Station in the District. The Maoists left three pamphlets on the spot demanding that Sitamarhi jail superintendent should be hanged for his alleged atrocity against a woman Maoist in jail. He said the pamphlets also demanded political prisoner status to the arrested Maoists in jails."
0,NA,"Four persons, including three hardcore Maoists, were arrested from various places in Rohtas District. Acting on a tip-off, the Police raided a hideout near Gouraila hills area and arrested three state committee members of the CPI-Maoist, identified as Phulendra Sah alias Navinji, Alok Mehta and Dharmendra Mahto. The fourth arrested person was an ex-Maoist cadre-turned-criminal Vindhyachal Kumar."
0,NA,Two separate encounters between the Bihar Police and cadres of the CPI-Maoist lead to the death of one Police personnel and a civilian at Piprahi village in the Sitamarhi District. The encounter also resulted in injuries to six Police personnel and the arrest of an equal number of Maoists.
1,1 bus set ablaze,"Armed cadres of the CPI-Maoist set ablaze a bus near Ramnagar village under Tirhut division in Muzaffarpur District during a Bandh (shutdown) called by the outfit at Tirhut. However, no one was injured in the incident. The Bandh was called to protest against the murder of a Maoist, Jagdish Mahto, whose body was recovered by Police from the banks of a river near Piprakothi in East Champaran District a week ago."
0,NA,"An 'area commander' of the CPI-Maoist, identified as Kameshwar Bhuian, was arrested from Tekrakhurd village under Dumaria Police Station in Gaya District of Bihar."
0,NA,"Two cadres of the Maoist Communist Centre (MCC), identified as Chenari Yadav and Kailash Yadav, were arrested from Jogia village in Gaya District."
0,NA,"Two CPI-Maoist cadres, identified as Santosh Bhagat and Bhola Rai, were arrested from Rampur Barahi village under Riga Police Station in Sitamarhi District. A country-made pistol, materials used for processing bombs and Maoist literature were recovered from them. Interrogation of the two arrestees led to the arrest of a third Maoist cadre, identified as Laxmi Das from Sunaul Subba village under Majorganj Police Station area in the District, the Police said. The Maoists also confessed their complicity in damaging circle officer Anil Panjiar's vehicle on Sheohar-Sitamarhi road during the Maoist bandh (shutdown strike) on June 25, the Police said."
0,NA,"Police seized 200 kilograms of ammonium nitrate, 120 detonators and five packets of gelatine, besides four pistols and live cartridges in Munger District."
0,NA,"The SFs destroyed a CPI-Maoist camp in Paisra hills of Bhimbandh sanctuary in Munger District. Two hardcore Maoists, identified as B Koda and Chamru Koda, were arrested and a musket, four ammunition, blankets, utensils, tarred canvas and Maoist literature were seized from the camp."
0,NA,"Three CPI-Maoist cadres were arrested with an AK-56 rifle and 50 rounds of ammunition from a village under Saraiya Police Station area of Muzaffarpur District. Acting on a tip-off, the Police raided Gorigawan village and arrested three Maoists, SSP Vinay Kumar said. One of the arrested Maoists was identified as Amit Sahni alias Kamleshji. The identity of the other two was yet to be ascertained."
0,NA,"Dukhit Ram, an accused in the case of Jehanabad jail break by the Maoists in November 13, 2005, was arrested from Arwal District"
1,the generator room adjacent to the telephone tower,Armed cadres of the CPI-Maoist set ablaze a mobile telephone tower at Chiraiya in East Champaran District.
0,NA,Four cadres of the CPI-Maoist were arrested by Special Task Force of Bihar Police from Gaya railway station
0,NA,"Nearly 50 armed CPI-Maoist cadres stormed Bangalwa Kareli village in Munger District and killed six people and abducted seven others, Police said."
0,NA,A Maoist 'zonal commander' and another LWE were killed in a factional clash at Baulia village under Chutia Police Station area in Rohtas District.
0,NA,"STF personnel arrested Avinash, the spokesperson of east Bihar and north Jharkhand zonal committee of CPI-Maoist, from a place near Belhar-Jamui border in Banka District, reports Telegraph."
0,NA,71 'waste' cartridges and some items looking like bombs and half portions of five rocket launchers were found stacked on the pillar no 2 on rail bridge across river Kosi at Kursela under East Central Railway (ECR) in Katihar District.
0,NA,"A hardcore Maoist was arrested from Kaimur hills under Chutia Police Station area in Rohtas District. The Security Forces arrested Maoist cadre Suresh Paswan during a combing operation. A printer and scanner were seized from the possession of the Maoist, who was said to be the 'sub-zonal commander' of Rohtas and Sonebhadra region. A native of Nawadih village, Paswan was wanted in at least 18 cases of violence and related activities in the District and adjoining area across Bihar and Uttar Pradesh."
0,NA,Three CPI-Maoist cadres were arrested from Adhaura and Chainpur Police Station areas in Kaimur District. The CRPF's CoBRA battalion and the District Police raided Bahadag and Sirbit villages under Adhaura and Chainpur Police Station areas respectively and arrested the three. Nine firearms and eight rounds of ammunition were seized from them.
0,NA,"CPI-Maoist cadres killed two youths, identified as Laxman Koda (22), Makhru Koda (24), in Jamunia forest under Piri Bazar Police Station limits of Lakhisarai District. The Maoists picked up the youths from Jamunia village last night and shot them dead in a nearby forest, SP Ashok Kumar said. The Maoists killed the two for being 'police informers', the SP added. The bullet-riddled bodies of the youths have been recovered."
0,NA,A cadre of the CPI-Maoist was arrested from his native village Rustampur under the Hulasganj Police station in Jehanabad District.
0,NA,"CPI-Maoist cadres killed a former colleague, identified as Umesh Mehta (20), a native of Burma village under Kutumba Police station in Aurangabad District"
0,NA,"A CPI-Maoist cadre, identified as Chandrashekhar Sahni, was arrested along with weapons from Baligaon village in Gandak riverine area of Saran District of Bihar."
1,a house,"Maoists attacked the house of Dwarika Yadav of Chando village in Barachatti area of Gaya District and set it ablaze. However, Dwarika Yadav and his family managed to escape."
0,NA,"An 'area commander' of the CPI-Maoist of Shahabad range, Surendra Rai alias Ajayji, was killed by his colleagues under Maoist-infested Nabinagar block in Aurangabad District."
0,NA,"A suspected veteran CPI-Maoist, who is accused in several cases of violence and absconding since 1992, was arrested from a place in Paliganj area of Patna District. Patna SSP Vikas Vaibhav said the arrested Maoist has been identified as Indresh Ram. ""Indresh has been an important Maoist involved in at least nine cases of murder, attempt to murder, extortion and violation of Arms Act in Paliganj and Masaurhi Police Station areas. He was absconding for a long time,"" the SSP said."
1,village office HQ blown up,"Suspected CPI-Maoist cadres blew up a government office in Bihar's East Champaran District. No casualties were reported in the incident that took place at Chitriya block office near District headquarter Motihari. An unidentified Police official said, ""The Maoist rebels first attacked the office and later blew it up to create panic among local administrative officials and villagers."""
0,NA,"One villager was abducted by the CPI-Maoist cadres from Ghoskotand village under Khaira Police limits in Jamui District. Around 30-40 Maoists raided the village and abducted Basudev Rai, a sympathiser of Munna Shah Squad of the outfit."
0,NA,"Three Maoists were arrested from the Bangalwa forest area in Munger District, in connection with the killing of six villagers on July 3, of Kereili village in the District."
0,NA,Six Maoists were arrested from Murgibigha village in Aurangabad District.
0,NA,"Police arrested Shravan Manjhi, a CPI-Maoist 'area commander' from Maqsoodpur village under Khikarsarai Police Station area in Gaya District. An amount of INR 500,000, a country-made pistol, ammunition and a mobile phone were seized from his possession."
0,NA,"Police arrested two CPI-Maoist cadres and another Maoist's wife from Aurangabad District. Acting on a tip off, the Police arrested a Maoist from a hideout at Hulasganj Police Station area and seized a Bolero jeep displaying the board of District agriculture officer. INR 70,000 in cash and a diary with details of collection through extortion were seized. The jeep driver was also arrested. Police arrested another, the wife of another Maoist and seized a country-made carbine and three live ammunitions. It was not clear immediately whether she was also a Maoist cadre. The Police arrested another Maoist from Bira village and seized Maoist literature from his possession."
0,NA,"The Begusarai Police arrested an alleged CPI-Maoist 'area commander', identified as Bihari Paswan from Khanzhapur village under Cheria-Bariarpur Police Station area in Begusarai District."
0,NA,"Police arrested Madan Paswan (32), self-styled 'area commander' of the CPI-Maoist for Muzaffarpur and Vaishali Districts, from Repura Rampur village under Saraiya Police Station limits in Muzaffarpur District. Live cartridges of AK-47 and self-loading rifles, a country-made pistol and several money receipts were recovered from the possession of the arrested Maoists. Police also arrested one Shankar Paswan on the charge of helping Madan collect levy from several brick kilns of the District."
0,NA,"CPI-Maoist conducted a Kangaroo Court in Manjhar village in Gaya District, and punished Ranjit Malakar, a school teacher for reportedly molesting a girl student of 7th standard of his school."
0,NA,"Police arrested a Maoist, identified as Dhapat Yadav, with a weapon from Mahrana village in Munger District."
1,NA,"Nine Maoist cadres, including two self-styled 'area commanders', surrendered before the Police in Sasaram in Rohtas District."
0,NA,Three CPI-Maoist cadres were arrested from the Mina Bazaar area of Muzaffarpur District.
0,NA,"The Police recovered more than 12 can bombs from a private lodge in Kankarbagh area in Patna District. SSP Vikash Vaibhav said that on a tip off, Police searched the lodge and recovered the bombs hidden there. The CPI-Maoist cadres are suspected to be behind it, he said."
0,NA,"A Maoist cadre, identified as Mithlesh Ram, was arrested with firearms from Hathori village in Muzaffarpur District."
0,NA,A huge cache of explosives belonging to the PLFI was recovered from a private lodge at Khemnichak under Ram Krishna Nagar Police Station limits in Patna District. Nine persons have been detained in this connection. Police said around 100 kilograms explosives was recovered from one of the rooms on the first floor of the lodge. Patna SSP Vikas Vaibhav confirmed the recovery of explosives.
0,NA,"Acting on a tip off, Bihar Police arrested a CPI-Maoist cadre, identified as Gulam Mustafa, from a village under Tariyani Police Station limits in Sheohar District. He was arrested while he was extorting from a panchayat head."
